,season,team,conference,statName,statValue,SeasonTeam
0,2005,Arkansas,SEC,possessionTime,11802,2005 Arkansas
1,2015,Arkansas,SEC,penaltyYards,477,2015 Arkansas
2,2009,Arkansas,SEC,possessionTime,14300,2009 Arkansas
3,2021,Arkansas,SEC,fourthDownConversions,12,2021 Arkansas
4,2018,Arkansas,SEC,puntReturns,9,2018 Arkansas
6,2020,Arkansas,SEC,thirdDownConversions,46,2020 Arkansas
7,2006,Arkansas,SEC,interceptions,18,2006 Arkansas
8,2008,Arkansas,SEC,rushingTDs,13,2008 Arkansas
9,2011,Arkansas,SEC,kickReturnTDs,2,2011 Arkansas
10,2007,Arkansas,SEC,penaltyYards,707,2007 Arkansas
11,2017,Arkansas,SEC,penalties,58,2017 Arkansas
12,2013,Arkansas,SEC,penaltyYards,461,2013 Arkansas
13,2012,Arkansas,SEC,thirdDownConversions,58,2012 Arkansas
14,2012,Arkansas,SEC,penalties,72,2012 Arkansas
16,2007,Arkansas,SEC,interceptions,11,2007 Arkansas
17,2011,Arkansas,SEC,fumblesLost,15,2011 Arkansas
18,2021,Arkansas,SEC,kickReturnYards,310,2021 Arkansas
19,2010,Arkansas,SEC,kickReturnYards,1047,2010 Arkansas
20,2018,Arkansas,SEC,kickReturns,23,2018 Arkansas
21,2022,Arkansas,SEC,passAttempts,154,2022 Arkansas
22,2010,Arkansas,SEC,fourthDownConversions,9,2010 Arkansas
23,2013,Arkansas,SEC,rushingTDs,14,2013 Arkansas
25,2017,Arkansas,SEC,totalYards,4481,2017 Arkansas
26,2012,Arkansas,SEC,firstDowns,253,2012 Arkansas
28,2013,Arkansas,SEC,passesIntercepted,8,2013 Arkansas
29,2013,Arkansas,SEC,thirdDowns,156,2013 Arkansas
30,2019,Arkansas,SEC,passingTDs,14,2019 Arkansas
31,2010,Arkansas,SEC,puntReturnTDs,1,2010 Arkansas
32,2008,Arkansas,SEC,puntReturns,29,2008 Arkansas
33,2013,Arkansas,SEC,netPassingYards,1782,2013 Arkansas
34,2014,Arkansas,SEC,netPassingYards,2444,2014 Arkansas
